"","CABBI","SIRET_DEC","SIRET_FINAL","VALID"
"1","7350643629",47952927300043,"47952927300043",1
"2","7305728570",38498348200066,"79247362100011",0
"3","7350616488",30503654300018,"30503654300018",1
"4","7350643861",34049309700034,"34049309700034",1
"5","7350644265",NA,"32321191200049",0
"6",NA,9218868437227407266,NA,NA
"7","7350644129",43350477600025,"43350477600025",1
"8","7305729359",49017612000759,"49017612000759",1
"9","7350616620",33767863500059,"33767863500059",1
"10","7350643604",37983490600073,"43299865600016",0
"11","7350616649",42389994700018,"42389994700018",1
"12","7350643816",21130028000149,"80984609000029",0
"13","7303003911",75398925000018,"48751426700235",0
"14","7351279845",70202111400930,"80418098200014",0
"15","7351278400",55480026800068,"55480026800068",1
"16","7351282330",79446106100010,"79446106100010",1
"17","7350625746",NA,"50834999000061",0
"18","7351283250",NA,"50904593600036",0
"19","7351284363",NA,"78818342400035",0
"20","7351284169",80833267002795,"80833267002720",0
"21","7351270159",26440306400084,"26440306400027",0
"22","7303049826",47959700700034,"47959700700034",1
"23","7351168857",42208359200036,"41991516000107",0
"24","7303011661",43903116200043,"79912102500024",0
"25","7350439483",53419226500013,"53419226500013",1
"26","7351110809",43337408900038,"77622476800031",0
"27","7351111065",85880071700036,"85880071700036",1
"28","7351109806",33098141600028,"41154267300024",0
"29","7351110271",49853306600029,"81436023600024",0
"30","7351111975",77560546200081,"53247399800054",0
"31","7351236531",86980028400018,"35264113800024",0
"32","7351237629",47772712700029,"47772712700029",1
"33","7351237273",34540415600118,"34540415600118",1
"34","7351237885",NA,"78988025900013",0
"35","7351078523",75226369900015,"75226369900015",1
"36","7351078522",86080112500011,"38138516000019",0
"37","7351079170",70204275500182,"32590825900055",0
"38","7351078988",34093952900020,"79131004800016",0
"39","7351079425",30059912301066,"82422814201080",0
"40","7351075829",66204244932900,"66204244932900",1
"41","7351080302",44061481600021,"75402330700012",0
"42","7351079679",40182584900029,"50180306800011",0
"43","7351075849",51042059900027,"49291263900027",0
"44","7351078051",48149538000034,"52492826400018",0
"45","7351078057",50840867100024,"51216190200022",0
"46","7350593505",20007272600017,"44291499000035",0
"47","7350983999",50939352600025,"38012986632553",0
"48","7351235966",78596338000015,"78596338000015",1
"49","7351235795",85880071700036,"85880071700036",1
"50","7350984147",53225430700020,"34142008100083",0
"51","7350985243",21440020200120,"78593347400104",0
"52","7351169721",44327734800027,"47848481900022",0
"53","7351074681",79468966100013,"79468966100013",1
"54","7303050693",43267023000015,"43267023000015",1
"55","7351170027",87280278000025,"33999316402670",0
"56","7351074146",21440108500011,"21440108500011",1
"57","7351073605",53414572700010,"53414572700010",1
"58","7350593390",NA,"44254835000010",0
"59","7351092298",35600000004458,"35600000004449",0
"60","7351016510",44475036800607,"79858192200019",0
"61","7350593440",47946977700011,"47946977700011",1
"62","7351017170",55204599900828,"55204599900828",1
"63","7351017369",33135526300129,"80952084400014",0
"64","7306166504",13001292500066,"13001292500512",0
"65","7351017459",41035343700016,"44142716800030",0
"66","7305726086",78267411300025,"35600000062134",0
"67","7351022964",80285025500018,"80285025500018",1
"68","7351022397",21130015700024,"21130015700024",1
"69","7351024351",NA,"75056743000012",0
"70","7305730831",NA,"37965554100082",0
"71","7350428291",32992501004204,"81498149400010",0
"72","7351024077",18008901302292,"18008901302292",1
"73","7351023892",38225168400124,"38225168400124",1
"74","7305731742",71262071500094,"34453435900015",0
"75","7350428821",80313306500026,"80313306500026",1
"76","7351014215",32580839200055,"34832738800016",0
"77","7352108523",55208131770011,"33254402200012",0
"78","7306137789",45241477400169,"75001709700015",0
"79","7350428541",35550035600058,"50089104900073",0
"80","7352083207",20004497200012,"86880099600027",0
"81","7352108105",32931358900015,"32931358900015",1
"82","7352083918",51779161200016,"79152290700033",0
"83","7352084223",86380073600184,"75171658000012",0
"84","7352084290",NA,"47910772400011",0
"85","7351940011",38039760400022,"44215455500027",0
"86","7350427181",38108022500158,"50498453500014",0
"87","7350428176",17440430100015,"52007968200024",0
"88","7306157255",86780051800526,"50151727000028",0
"89","7303024806",41390176008031,"66202519645769",0
"90","7352166324",NA,"55208131715057",0
"91","7352168236",19442312500013,"52934247900027",0
"92","7352167601",NA,"33858443600012",0
"93","7352168453",45048684000017,"78883940500016",0
"94","7352200571",19442205100020,"19442205100020",1
"95","7303082253",43369186200851,"75187158300025",0
"96","7352173043",38397408600035,"38397408600035",1
"97","7350428012",NA,"48091396100011",0
"98","7352171841",NA,"50080182400029",0
"99","7352171845",39019403300010,"39019403300010",1
"100","7352173050",30473388400023,"30129337900063",0
"101","7352167245",30247504102006,"30247504102006",1
"102","7352173676",NA,"79925743100020",0
"103","7352200248",13000610900057,"53020693700019",0
"104","7352200847",13000548123467,"13000548123400",0
"105","7352172279",35600000011630,"35600000011630",1
"106","7352173089",42826802336212,"42826802336212",1
"107","7303082808",49894481800059,"33322149700014",0
"108","7352200256",44943256600031,"51846892100029",0
"109","7352172696",13001342800060,"13001342800060",1
"110","7352173715",20006786600018,"20006786600018",1
"111","7352171725",34924131500010,"42040637300027",0
"112","7350432006",34323414200655,"35272662400013",0
"113","7352167111",78833544600035,"33415947204245",0
"114","7352200509",38012986620152,"38012986620152",1
"115","7352173153",85580236901269,"81014656300228",0
"116","7351950463",32152346600027,"51896197400020",0
"117","7351950371",49754990700010,"79449644800018",0
"118","7351950742",52239783500011,"52239783500011",1
"119","7351950892",82312316100015,"82312316100015",1
"120","7352067081",77560546200610,"49022353400028",0
"121","7352066132",43305417800010,"43305417800010",1
"122","7352066552",13001292500132,"13001292500132",1
"123","7352067413",NA,"26440144900014",0
"124","7352065578",26440013600018,"26440013600018",1
"125","7352065794",728060500010,"81495245300011",0
"126","7303053226",30266606000561,"43268268000058",0
"127","7352209175",52395704100024,"82103978100017",0
"128","7352208999",32256522700020,"32256522700020",1
"129","7350472390",81537681900018,"81537681900018",1
"130","7352206681",38480386200026,"38480386200026",1
"131","7352208971",51516374900028,"78835412400091",0
"132","7352207295",30285817000012,"19440984300811",0
"133","7352208620",19441616000019,"19441616000019",1
"134","7352208847",95044561900022,"95044561900022",1
"135","7352207893",NA,"95002691402913",0
"136","7352208797",53482248100014,"39354302000019",0
"137","7350608140",33869910100014,"628023400136",0
"138","7352207921",20003709100010,"44973692500016",0
"139","7350608522",53540645800419,"53540645800419",1
"140","7352208051",78596175600034,"78596175600034",1
"141","7352207054",51516374900036,"41997997600091",0
"142","7352207173",77560465500024,"77560465500024",1
"143","7352206008",75171185400024,"41094562000053",0
"144","7306163361",44463330900034,"82771278700015",0
"145","7303101637",86780133400048,"86780133400048",1
"146","7306144809",26440013600489,"52368909900019",0
"147","7306139837",33527407200065,"33527407200065",1
"148","7306142336",26440013600018,"26440013600471",0
"149","7306142372",80118487000013,"52405259400016",0
"150","7306141366",21440109300619,"21440109300619",1
"151","7350608180",38487901100029,"38487901100029",1
"152","7306140956",33402516000048,"82862857800019",0
"153","7306152313",37776860100066,"37776860100066",1
"154","7306152351",96850493600616,"79865787000019",0
"155","7306152802",NA,"44897155600056",0
"156","7306152788",50421399200010,"50421399200010",1
"157","7306141124",77560545400138,"77560545400138",1
"158","7306140087",44485465700012,"55212022210467",0
"159","7306151978",NA,"13001831000222",0
"160","7350608571",42072925300013,"42072925300013",1
"161","7306145726",35103276800084,"30431845400846",0
"162","7353163514",19440984300399,"19440984300399",1
"163","7353163515",2617025800011,"81037795200017",0
"164","7350608009",48799094700037,"48799094700037",1
"165","7353162003",38916767700035,"79288430600012",0
"166","7353162080",80911905000015,"80911905000015",1
"167","7350472089",30480270500067,"79416553000021",0
"168","7353161624",52929409200018,"42360762100046",0
"169","7353162428",45167897300442,"45167897300442",1
"170","7353160960",13001292500314,"80462769300018",0
"171","7353162953",44328935000037,"44328935000037",1
"172","7353163061",42811273400028,"42811273400028",1
"173","7306145728",81114220700018,"81114220700018",1
"174","7353163047",82294301500013,"79084251200028",0
"175","7353163389",40225443700377,"79204692200011",0
"176","7306150293",NA,"40378099200059",0
"177","7353163237",41922342500044,"41922342500044",1
"178","7353163439",82343444400019,"82343444400019",1
"179","7306149716",50127435100045,"52290871400028",0
"180","7350608055",21440069900051,"21440069900044",0
"181","7353163551",78601196500021,"26440270200114",0
"182","7306142304",NA,"44505566800047",0
"183","7353160603",54202182900123,"81903131100015",0
"184","7350625034",NA,"75132402100029",0
"185","7353166783",49882248500013,"34879032000082",0
"186","7353171822",NA,"51511374400038",0
"187","7353172243",NA,"42379914700032",0
"188","7353166192",13001292500066,"13001292500512",0
"189","7353169218",42263292700030,"78598917900052",0
"190","7350608072",41924923000055,"82370663500237",0
"191","7353175148",80226680900010,"80226680900010",1
"192","7353176482",38012986605757,"38012986605757",1
"193","7350472147",87080029901897,"95450974112834",0
"194","7353167210",26440013600018,"26440013600687",0
"195","7353167609",77560546200156,"79019860000021",0
"196","7353168227",19440984300993,"19440984300993",1
"197","7353168426",NA,"45025146700012",0
"198","7353169238",45106541100014,"50226581200029",0
"199","7353169836",35066186400032,"35066186400032",1
"200","7353171232",78936717400313,"50024402500010",0
"201","7353176533",21440020200013,"50387779700020",0
"202","7353173710",38012986606219,"43039646500154",0
"203","7353167633",49994739800016,"49994739800016",1
"204","7353169058",NA,"51504610000019",0
"205","7353170658",81116659400010,"50168109200026",0
"206","7353171261",45368696600111,"30146814600784",0
"207","7353170270",48381561900091,"81955616800014",0
"208","7353170089",82381937000011,"82381937000011",1
"209","7353172733",30460295600100,"39380923100045",0
"210","7353174572",24440040400129,"81195634100010",0
"211","7353175546",52952323500016,"52952323500016",1
"212","7353164247",32200842600064,"39254491200018",0
"213","7353167274",52291753300039,"52833730600013",0
"214","7353172747",77560545400062,"41488421300011",0
"215","7353174176",38947005500028,"38947005500028",1
"216","7353174375",33190156100042,"33190156100042",1
"217","7353167087",61203867900124,"51865982600029",0
"218","7353168108",80311624300012,"48775226300029",0
"219","7353171921",NA,"43849040100017",0
"220","7353172553",35276139900018,"41931842300045",0
"221","7353174387",44181060300049,"44181060300049",1
"222","7350527675",49167865200042,"49167865200042",1
"223","7353165100",17440004400023,"48189817900025",0
"224","7353168130",50931318500027,"50927551700027",0
"225","7353174821",21440109301542,"21440109301542",1
"226","7353169351",53075274000015,"30988250400041",0
"227","7353171554",NA,"81773294400019",0
"228","7353173612",75160159200031,"45172930500040",0
"229","7353164510",19440288900019,"79966967600014",0
"230","7353166930",43233773100017,"43233773100017",1
"231","7353171773",NA,"81948402300018",0
"232","7308355636",41293523100016,"80271323000018",0
"233","7353176188",30460295600134,"51089878600015",0
"234","7353169772",33890331300025,"33890331300025",1
"235","7353171378",23440003400141,"23440003400026",0
"236","7350527362",43986958700139,"43986958700139",1
"237","7353167972",38105376800028,"38105376800028",1
"238","7353168977",19440984300472,"19440984300472",1
"239","7353167170",31901036900035,"31901036900035",1
"240","7350527443",35386190900292,"39086574900126",0
"241","7353176710",65382053000190,"50494093300014",0
"242","7353177536",45116375200012,"45116375200012",1
"243","7353101050",52761595900014,"52761595900014",1
"244","7353176794",21440015200051,"21440015200028",0
"245","7353177193",21440109302144,"21440109300932",0
"246","7353152800",NA,"22440002802728",0
"247","7353152409",95752685800510,"95752685800510",1
"248","7306159094",40866059500476,"40866059500476",1
"249","7306158862",44460844203699,"44460844203681",0
"250","7353151442",NA,"50044998800012",0
"251","7303045304",41426397000033,"41426397000033",1
"252","7353045406",80455856700025,"80455856700025",1
"253","7303039284",34534621700028,"75135384800011",0
"254","7353151054",31141830500034,"79083995500016",0
"255","7306158919",45135400500097,"42487897300017",0
"256","7305613514",41032813200015,"41032813200015",1
"257","7353118687",82254204900017,"82254204900017",1
"258","7353119047",26440013600018,"26440013600018",1
"259","7353209220",44173418300318,"44173418300318",1
"260","7353159709",79232842900016,"79232842900016",1
"261","7353249412",49819450500018,"49819450500018",1
"262","7353159109",19440984300530,"19440984300530",1
"263","7353253703",45100954200023,"25440109400043",0
"264","7353159356",NA,"26440030000044",0
"265","7353253953",80821927300014,"80821927300014",1
"266","7353249480",NA,"48903576600018",0
"267","7303086476",79025667100047,"42036652800024",0
"268","7353157906",26440013600018,"26440013600471",0
"269","7353157286",85780250800047,"85780250800047",1
"270","7353159183",79463964100016,"50865468800029",0
"271","7353253783",32101751900042,"28440002500029",0
"272","7353159844",77565229000468,"39339565200034",0
"273","7350625063",49899230400028,"45262598100140",0
"274","7353248453",32305708302596,"32305708302596",1
"275","7350526096",26440013600075,"35201683600293",0
"276","7353249360",48728001800937,"48728001800937",1
"277","7353158849",NA,"32873224300055",0
"278","7353157804",32696677700228,"30269561400891",0
"279","7353057991",85780250800047,"85780250800047",1
"280","7353240471",21440068100018,"21440068100075",0
"281","7353240717",45154852300013,"45154852300013",1
"282","7303043683",49529684000012,"49529684000012",1
"283","7353241859",53085158300019,"53085158300019",1
"284","7303041921",38823884200016,"43509930400014",0
"285","7353297500",34106769202354,"34106769200564",0
"286","7353300486",81378812200014,"41114017100017",0
"287","7353212495",NA,"26440272800036",0
"288","7350527243",42870497700043,"41410800100119",0
"289","7353297543",35290202700031,"42102157700018",0
"290","7353302954",38811327600017,"38811327600017",1
"291","7353209564",49289134600016,"49289134600016",1
"292","7353301383",21440109300643,"21440109300643",1
"293","7353299721",45164790300199,"45164790300199",1
"294","7353211291",32969233900016,"32969233900016",1
"295","7353211101",53392447800019,"33505137100011",0
"296","7353298023",31468496000045,"44210502900023",0
"297","7353301231",34005176200268,"30930461605711",0
"298","7353298470",42002487900025,"42002487900025",1
"299","7353300389",40282890900067,"82346609900012",0
"300","7353302765",19442207700017,"19442207700017",1
"301","7353211133",31321685500038,"82382277000017",0
"302","7353303037",42167079500010,"42167079500010",1
"303","7353211780",19441657400011,"19441657400011",1
"304","7353298093",40987944200054,"40987944200054",1
"305","7353016108",13000610900057,"13000636400660",0
"306","7353016145",48770708500014,"48770708500014",1
"307","7353014572",37804049700026,"37804049700026",1
"308","7350526895",81163901200012,"34537560400195",0
"309","7350527273",31179945600042,"31179945600042",1
"310","7353016511",42970729201891,"42970729201891",1
"311","7353016597",26440306400084,"26440306400027",0
"312","7353017666",85480074501414,"85480074501414",1
"313","7353016731",52844931700023,"52844931700023",1
"314","7305764671",43771563400014,"43771563400014",1
"315","7352303315",26130008100484,"26130008100484",1
"316","7352304258",13001533200153,"50198088200010",0
"317","7352400187",41829969900102,"41829969900102",1
"318","7305757449",53800007600017,"44044946000011",0
"319","7352256208",78289760700027,"78289760700027",1
"320","7305765972",26130008100153,"49309496500016",0
"321","7305788592",39437545500026,"48362855800015",0
"322","7352401039",77555971900197,"77555971900197",1
"323","7305764187",33825308116699,"81318924800012",0
"324","7306159690",53540643300024,"53540643300024",1
"325","7352400642",45077790900034,"53134142800013",0
"326","7352400652",40177348600014,"40177348600014",1
"327","7352303172",34951853000051,"34074697300015",0
"328","7305778748",21130055300313,"51056765400015",0
"329","7352303194",21130055306476,"41035534100034",0
"330","7352256081",33825323020785,"52451647300013",0
"331","7305756921",77556008900069,"77569474811033",0
"332","7305787817",40008623700064,"82136698600023",0
"333","7307308035",NA,"51988563600026",0
"334","7305764384",26130008100096,"40821580400027",0
"335","7352401117",NA,"22130001500866",0
"336","7305765372",NA,"48297204900019",0
"337","7305788735",NA,"49222601400016",0
"338","7305757438",NA,"41149328100017",0
"339","7350527143",31617316000102,"80828528200048",0
"340","7352302875",20005480700348,"20005480700389",0
"341","7352399335",NA,"41069023400027",0
"342","7352400152",47951907600034,"33473310200035",0
"343","7350526209",41035886505020,"40921424400017",0
"344","7352303883",NA,"75328319100017",0
"345","7305787967",NA,"75214966600014",0
"346","7305756807",33519955000021,"33519955000021",1
"347","7305776959",19130084700016,"19130084700016",1
"348","7305789450",5680065900155,"34074010900038",0
"349","7352400376",35600000061270,"35600000061270",1
"350","7305777051",44065810200049,"41705004400060",0
"351","7352469216",50740620500025,"50740620500025",1
"352","7305794489",80830653400013,"49084071700014",0
"353","7352492853",5980132401751,"41505317200037",0
"354","7305717844",79800247300014,"81975379900017",0
"355","7352493306",42210153500280,"42210153500280",1
"356","7352469869",NA,"44864057300045",0
"357","7305794944",NA,"37923111100053",0
"358","7305798266",35600000061351,"35600000061333",0
"359","7352469879",53270210700022,"53270210700022",1
"360","7305802318",32555844300017,"32555844300017",1
"361","7352468696",32125396500511,"35148882000025",0
"362","7352468894",82386310500016,"49905134000010",0
"363","7352469290",NA,"38932913700019",0
"364","7305796250",79384209700016,"75252470200012",0
"365","7305795620",26130011500019,"26130011500332",0
"366","7305802485",NA,"48754716800046",0
"367","7305802462",81140633900010,"81140633900010",1
"368","7305795461",5980132400886,"50527122100010",0
"369","7305798922",79370321600010,"42277787000011",0
"370","7307344284",NA,"51817455200035",0
"371","7352468545",43510278500019,"43510278500019",1
"372","7305796474",NA,"77555830700028",0
"373","7352469965",31071143700023,"81460767700014",0
"374","7305796187",NA,"48759467300021",0
"375","7305795782",78288383900014,"19132207200015",0
"376","7305798464",21130055300156,"40187835000016",0
"377","7350480070",19130079700013,"21130055305460",0
"378","7305795691",NA,"19132207200015",0
"379","7305798842",53080111700033,"21130055300883",0
"380","7352468588",21130055300081,"21130055300081",1
"381","7352469189",43017105800398,"34117411800735",0
"382","7352469196",78288573500020,"21130055300081",0
